shot_id,shot_made_flag
1,0.395
8,0.323
17,0.64
20,0.759
33,0.392
34,0.434
35,0.482
36,0.463
37,0.699
38,0.401
45,0.412
50,0.343
55,0.319
60,0.311
66,0.3
67,0.316
71,0.415
80,0.27
85,0.351
86,0.662
95,0.604
104,0.346
113,0.4
123,0.319
126,0.803
133,0.575
141,0.244
144,0.437
150,0.721
152,0.373
153,0.69
156,0.342
159,0.904
165,0.794
172,0.465
182,0.938
192,0.409
193,0.726
196,0.376
202,0.361
210,0.367
211,0.367
228,0.929
257,0.392
260,0.36
264,0.357
267,0.709
279,0.95
282,0.392
293,0.345
299,0.803
300,0.669
301,0.779
317,0.32
327,0.382
328,0.329
335,0.372
346,0.809
348,0.3
365,0.395
390,0.704
391,0.686
392,0.724
397,0.338
418,0.381
428,0.228
434,0.571
439,0.401
440,0.409
456,0.369
459,0.32
472,0.426
480,0.266
491,0.298
497,0.345
509,0.375
511,0.384
523,0.206
533,0.435
544,0.41
546,0.373
555,0.712
558,0.411
560,0.367
573,0.341
591,0.437
596,0.306
597,0.387
601,0.514
605,0.403
617,0.344
628,0.276
634,0.321
646,0.295
649,0.34
651,0.659
654,0.743
656,0.42
657,0.386
669,0.401
670,0.923
693,0.605
694,0.308
699,0.438
711,0.454
718,0.388
722,0.386
723,0.322
725,0.663
734,0.379
735,0.379
737,0.806
746,0.338
747,0.748
766,0.356
767,0.353
771,0.261
773,0.215
774,0.35
783,0.299
784,0.368
789,0.318
792,0.395
804,0.352
809,0.377
812,0.401
813,0.341
817,0.322
820,0.34
825,0.37
826,0.351
829,0.393
855,0.402
859,0.701
862,0.412
870,0.373
876,0.344
880,0.293
886,0.954
889,0.848
891,0.342
897,0.966
902,0.406
903,0.383
908,0.386
909,0.388
920,0.381
922,0.389
924,0.653
932,0.392
934,0.347
937,0.333
941,0.4
943,0.418
950,0.4
952,0.38
954,0.943
963,0.371
975,0.338
979,0.385
981,0.416
983,0.25
985,0.427
989,0.409
995,0.473
998,0.412
1008,0.287
1019,0.674
1023,0.378
1026,0.317
1029,0.699
1034,0.813
1036,0.616
1038,0.303
1039,0.657
1051,0.45
1052,0.324
1066,0.339
1087,0.279
1092,0.223
1094,0.752
1098,0.418
1099,0.35
1102,0.389
1118,0.412
1131,0.341
1133,0.78
1135,0.92
1138,0.425
1139,0.86
1142,0.401
1151,0.365
1152,0.366
1155,0.683
1165,0.354
1167,0.944
1172,0.348
1174,0.707
1180,0.411
1200,0.423
1202,0.413
1227,0.622
1228,0.71
1229,0.365
1237,0.378
1241,0.387
1256,0.3
1279,0.378
1293,0.211
1295,0.268
1319,0.736
1320,0.346
1321,0.804
1322,0.665
1334,0.257
1351,0.685
1373,0.336
1375,0.368
1380,0.452
1382,0.755
1385,0.413
1399,0.345
1403,0.941
1428,0.307
1434,0.351
1444,0.936
1448,0.451
1466,0.855
1476,0.373
1478,0.384
1485,0.39
1491,0.618
1494,0.687
1500,0.341
1501,0.691
1503,0.416
1519,0.647
1524,0.318
1529,0.798
1533,0.66
1538,0.966
1539,0.371
1546,0.413
1555,0.333
1559,0.362
1563,0.692
1565,0.737
1574,0.354
1591,0.296
1594,0.244
1605,0.267
1611,0.363
1614,0.318
1620,0.377
1626,0.359
1630,0.365
1632,0.391
1634,0.357
1643,0.295
1651,0.46
1655,0.353
1658,0.322
1659,0.386
1665,0.393
1675,0.342
1680,0.781
1690,0.376
1696,0.32
1714,0.303
1721,0.348
1726,0.368
1728,0.386
1734,0.347
1735,0.343
1740,0.315
1744,0.819
1747,0.308
1752,0.265
1763,0.694
1765,0.694
1769,0.365
1785,0.694
1787,0.341
1788,0.411
1793,0.325
1800,0.389
1825,0.501
1826,0.751
1834,0.407
1843,0.352
1844,0.349
1848,0.366
1849,0.376
1860,0.371
1863,0.401
1875,0.56
1883,0.366
1890,0.419
1892,0.367
1893,0.357
1897,0.299
1905,0.386
1908,0.527
1931,0.344
1940,0.806
1943,0.439
1947,0.235
